MicroRNA;Research field;Study ;Medium;Finding;Function;;;;;;;
miR-29a;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-106a;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-23a;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-16;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-30a;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-23b;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;Plays a critical role in suppressing leucocyte migration and halting the progression of experimental autoimmune encephalomyelitis (EAE), an animal model of MS.;;;;;;;
miR-30d;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-26a;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-25;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains. Pathogenic.;;;;;;;;
miR-92b;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-433;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-423-5p;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-638;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-1975;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-1979;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-129-5p;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;Has been reported to control axonal regeneration via regulating insulin?like growth factor?1 in peripheral nerve injury.;;;;;;;
miR-149;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains. Protective.;Found to be associated with genes involved in T?cell proliferation, inhibition of apoptosis by targeting PD?1, TIM?3, BTLA, Foxp1, IL?2, TNF??, and IFN?? in breast cancer cells.;;;;;;;
miR-1180;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-1275;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly upregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-361-5p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by NGS.;;;;;;;;
miR-7-1-3p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by NGS.;;;;;;;;
miR-548o-3p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by NGS.;;;;;;;;
miR-151a-3p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by NGS.;;;;;;;;
miR-548am-3p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by NGS.;;;;;;;;
miR-22-5p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly upregulated in CIS/RRMS vs HC analyseD by NGS. ;"Previously reported as upregulated in plasma, active brain lesions,
and CD4+CD25+ regulatory T cells of patients with MS. ";;;;;;;
miR-27a-5p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly upregulated in CIS/RRMS vs HC analyzed by NGS. ;;;;;;;;
miR-4677-3p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly upregulated in CIS/RRMS vs HC analyzed by NGS. ;;;;;;;;
miR-146b-5p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by microarray.;;;;;;;;
miR-7-1-3p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by microarray. Identified by both methods.;;;;;;;;
miR-20a-5p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by microarray. Identified by both methods.; Regulated 500 genes. Targets gene CDKN1A (coding for cyclin kinase inhibitor p21) plays a role in T cell activation and has been associated with systemic autoimmunity.;;;;;;;
miR-3653;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by microarray.;;;;;;;;
miR-20b;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly downregulated in CIS/RRMS vs HC analyzed by microarray.;;;;;;;;
miR-16-2-3p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly upregulated in CIS/RRMS vs HC analyzed by microarray. Identified by both methods.;;;;;;;;
miR-574-5p;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly upregulated in CIS/RRMS vs HC analyzed by microarray.;;;;;;;;
miR-1202;MS;"Keller A, Leidinger P, Steinmeyer F, Stähler C, Franke A, Hemmrich-Stanisak G, Kappel A, Wright I, Dörr J, Paul F, Diem R, Tocariu-Krick B, Meder B, Backes C, Meese E, Ruprecht K. Comprehensive analysis of microRNA profiles in multiple sclerosis including next-generation sequencing. Mult Scler. 2014 Mar;20(3):295-303.";Total blood ;Significantly upregulated in CIS/RRMS vs HC analyzed by microarray.;;;;;;;;
